,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,", 를 사용해야 하는 경우가 있다면 @로 대치하여 사용",,,동일한 대화 아이디로 이동되어도 둘다 작성해주세요!,,
Dialogue 키,누가 말하는지,대화 내용,선택지1,선택지2,선택지1을 선택하면 이동되는 대화 아이디,선택지2을 선택하면 이동되는 대화 아이디,다음 대화
dialogueId,characterId,dialogueText,choiceText1,choiceText2,resultDialogueId1,resultDialogueId2,nextDialougeId
Dialogue_N001,Character_01,안녕 노아@,,,,,
,,이제 조금 숨을 돌린 것 같아 보이네.,,,,,
,,네 안의 무언가가 잔뜩 억눌려 있었던 것 같은데@ 지금은 좀 어때?,,,,,Dialogue_N002
Dialogue_N002,Character_02,잘 모르겠어.,,,,,
,,마음이 가벼워진 것도 같으면서@ 여전히 혼란스러워.,,,,,
,,...,,,,,
,,내가 왜 연주를 시작했는지 조차 잊어버린 것 같아.,,,,,
,,처음엔 분명 좋아서였겠지.,,,,,
,,"그런데 어느 순간부턴가 이기기 위해, 완벽해지기 위해서만 연주했던 것 같아.",,,,,
,,예전에@ 친구들이 나를 '인간 메트로놈'이라고 부른 적이 있어.,인간 메트로놈?,그게 뭔데?,Dialogue_N020,Dialogue_N021,Dialogue_N003
Dialogue_N003,Character_02,그 말이 계속 머릿속을 맴돌아.,,,,,Dialogue_N004
Dialogue_N004,Character_01,인간 메트로놈이라니 ...,,,,,
,,친구들이 널 그렇게 부른 건 네 연주가 얼마나 정확하고@ 또 완벽했는지를 말하는 거겠지.,,,,,
,,그런데 넌 그런 완벽함 속에서도 뭔가 부족함을 느꼈던 걸까?,,,,,Dialogue_N005
Dialogue_N005,Noah.P,...,,,,,Dialogue_As003
Dialogue_N006,Character_01,있잖아 노아@ 그럼 내가 하나 물어볼게.,,,,,
,,노아 넌 왜 그토록 '완벽'을 꿈꾸게 된 거야? 완벽한 연주가 너에게 어떤 의미였던 걸까?,,,,,Dialogue_Np004
Dialogue_N007,Character_02,어릴 때 데뷔 콩쿨 무대에 오른 적이 있어.,,,,,
,,무대 위의 조명은 눈이 멀 정도로 밝았고@,,,,,
,,그 아래서 느껴지는 관객 들의 시선은 마치 나의 모든 걸 꿰뚫어보는 것 같았지.,,,,,
,,처음 몇 마디는 괜찮았어.,,,,,
,,손 끝에서 흘러나오는 멜로디는 내가 알던 그 소리였고@ 건반도 익숙했지. ,,,,,
,,그런데... 그 때 갑자기 손이 멈췄어.,,,,,
,,"머리 속은 새하얘졌고, 음표가 떠오르지 않았지.",,,,,
,,내가 늘 연주해왔던 그 피아노가@ 그 순간엔 전혀 모르는 낯선 물건처럼 느껴졌던 거야.,,,,,Dialogue_N008
Dialogue_N008,Character_01,...,,,,,Dialogue_N009
Dialogue_N009,Character_02,무대 위에는 매서운 정적이 감돌았고@ 그 정적은 마치 내 가슴을 짓누르는 것 같았어.,,,,,
,,관객들의 숨죽인 소리@ 그리고 내 가쁜 숨소리만이 그 공간을 메웠지.,,,,,
,,그 순간만큼은 정말 시간이 멈춘 것 같았어. 하하,,,,,
,,그리고 그 영겁같던 시간이 다시 흐르기 시작했을 땐@ 모든 게 무너지는 소리가 들렸어.,,,,,
,,사람들이 내 연주가 아니라 나 자체를 뜯어보고 있다는 느낌이 들었거든.,,,,,
,,그 때 느꼈던 그 두려움과 공포.,,,,,
,,마치 무대와 관중들이 나를 집어삼켜버릴 것만 같던 그 숨막히는 감각은 지금도 선명해.,,,,,
,,그 때 누군가가 내게 속삭였어.,,,,,
,,다시는 이런 일이 있어서는 안 돼. 다시는',,,,,
,,그래서 다짐한거야.,,,,,
,,절대 실수하는 일 없게@ 완벽해지기 위해서 연주하겠다고.,,,,,Dialogue_N010
Dialogue_N010,Character_01,그래 그랬구나.,,,,,
,,그런데 노아@ 완벽만을 바라보며 달리다보면 가끔 정말 소중한 것이 무엇인지 잊어버리기도 해.,,,,,
,,연주를 시작했던 그 순간의 너와 지금의 너는 과연 같은 마음일까?,,,,,Dialogue_N011
Dialogue_N011,Character_02,아니@ 확실히 달라. ,,,,,
,,네 말을 듣고 그동안의 나를 다시 떠올려봤어.,,,,,
,,완벽만을 좇다보니 어느새 내가 왜 연주를 시작했는지조차 잊어버린 것 같아.,,,,,
,,연주는 더이상 내 이야기를 전하는 게 아니라 그저 정해진 음표를 정확히 나열하는 과업이 되어버렸지.,,,,,
,,그렇게 연주를 이어갈수록 오히려 무언가가 더 멀어진 느낌이었어.,,,,,
,,내가 원래 사랑했던 그 멜로디와@ 그 화음들이...,,,,,Dialogue_N012
Dialogue_N012,Character_01,그래 노아@ 그날의 실수가 네게 상처로 남았구나.,,,,,
,,하지만 노아@ 상처는 숨기려고만 하면 더 깊어지는 법이야.,,,,,
,,상처는 가릴수록 더 단단히 남아.,,,,,
,,그러는 한편 그 상처는 우리가 무언가를 놓치고 있다는 신호가 되기도 해.,,,,,Dialogue_N013
Dialogue_N013,Character_02,맞아. 나는 그 상처를 다시 마주할 용기가 없었고@ 그대로 마음속에 덮어놨어.,,,,,
,,그래서 난 '어떻게' 연주할지만 고민했는데@ 정말 중요한 건 '왜' 연주하는지 일지도 모르겠네.,맞아!,왜'라는 질문이 중요해.,,,Dialogue_N014
Dialogue_N014,Character_01,네가 처음 피아노를 쳤을 때의 마음@ 그 소리 하나하나에 설렜던 순간@ 기억나?,,,,,Dialogue_N015
Dialogue_N015,Character_02,기억나지.,,,,,
,,건반을 누를 때마다 흘러나오는 작은 소리들이 정말 좋았어.,,,,,
,,그 작은 음들이 모여 하나의 멜로디가 되는 게 정말 마법같았거든.,,,,,
,,그때는 아무도 날 가늠하지 않았고 그냥 내가 좋아하는 소리를 내는 게 전부였지.,,,,,Dialogue_N016
Dialogue_N016,Character_01,그렇다면 노아@ 그 소리를 다시 찾아보는 건 어때?,,,,,
Dialogue_N017,Character_02,다시... 찾아?,완벽하지 않아도 괜찮아.,틀려도 괜찮아.,Dialogue_N022,Dialogue_N022,Dialogue_N018
Dialogue_N018,Character_02,하지만... 사람들이 날 비난하면 어떡하지? 틀린 연주를 하면 분명히 또.. 난,하!,잘 봐.,,,Dialogue_N019
Dialogue_N019,Character_01,비난? 그래 누군가 비난할지도 모르지.,,,,,
,,그런데 사실은 말이야@,,,,,
,,네가 데뷔 콩쿨에서 실수했을 때도 사람들은 너에 대해 수근거렸고@,,,,,
,,이제는 완벽하게 연주하는 널 인간 메트로놈이라고 부르지.,,,,,
,,그러니까 결국 완벽하든@ 완벽하지 않든@ 사람들은 언제나 수근댈거야.,,,,,
Dialogue_N020,Character_01,감정 없는 기계같다는@ 그런 의미야.,,,,,Dialogue_N003
Dialogue_N021,Character_01,감정 없는 기계같다고.,,,,,Dialogue_N003
Dialogue_N022,Character_01,중요한 건 네 마음에서 흘러나오는 진짜 멜로디니까!,,,,,Dialogue_N018
